#Station Number    Run    Start    End    Run Type    antennaIceA#I1    antennaIceB#I1    opIceA#I1    opIceB#I1    attIceA#I1    attIceB#I1    Run_Start_Type    Run_End_Type    enableExtTrigger#I1    Quality    aComment    uComment
ARA01  10335   1517319902   1517341503       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10337   1517342539   1517364140       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10338   1517364142   1517367504       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10339   1517367506   1517389107       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10340   1517389109   1517410710       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10344   1517449215   1517470816       Data  1  0  1  0  0  0  User: jpd ; Log:  Restarted DAQ software      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10345   1517470818   1517492419       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10346   1517492421   1517514022       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10347   1517514024   1517535625       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10348   1517535627   1517557228       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10350   1517558263   1517579864       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10351   1517579866   1517601467       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10352   1517601469   1517623070       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10353   1517623072   1517644673       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10355   1517645707   1517667308       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10356   1517667310   1517688911       Data  1  0  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10358   1517701215   1517722816       Data  1  0  1  0  0  0  User: jpd ; Log:  Restarted DAQ software      Stopped by ARAd  0           NA                             NA                             NA
